N,kappa,eps_F,trial,lambda,J,K,err
4,10,0.001,98,2.0712763190932977,150,163,0.00017716706512211505
4,10,0.001,99,2.9978264338350273,212,239,0.0001728726063766302
4,10,0.0001,0,2.2661671075240513,193,213,1.9757658974181592e-05
4,10,0.0001,1,1.613069605002947,143,151,2.011546971716905e-05
4,10,0.0001,2,1.786050344068613,156,167,2.0070805040607703e-05
4,10,0.0001,3,1.9581088094245669,170,184,1.9986210120100276e-05
4,10,0.0001,4,1.811341607344446,158,170,2.006299853043432e-05
4,10,0.0001,5,2.0268609119452172,175,190,1.9940008758955453e-05
4,10,0.0001,6,1.9657452417129253,170,185,1.9982537217248903e-05
4,10,0.0001,7,2.5233661684707194,214,238,1.953074566952498e-05
4,10,0.0001,8,2.4103777009380716,205,227,1.9633043878942444e-05
4,10,0.0001,9,1.7593295573655232,154,165,2.0083103581902987e-05
4,10,0.0001,10,1.8320047686992342,160,172,2.0053970039258628e-05
4,10,0.0001,11,1.809428107319032,158,170,2.00645914298825e-05
4,10,0.0001,12,1.7749959837931342,155,166,2.007525364321969e-05
4,10,0.0001,13,2.3077286710435994,197,217,1.9722528316814913e-05
4,10,0.0001,14,1.8746995907242772,163,176,2.0032945310845932e-05
4,10,0.0001,15,2.124689958229691,182,200,1.987221382432458e-05
4,10,0.0001,16,2.1101241823188728,181,198,1.98811285941228e-05
4,10,0.0001,17,2.2493741373470124,192,212,1.9773407390483637e-05
4,10,0.0001,18,1.5304256424178844,137,143,2.0114305991793174e-05
4,10,0.0001,19,1.9397331974599439,168,182,1.9996279400253926e-05
4,10,0.0001,20,1.9142456977571876,166,180,2.001259216195065e-05
4,10,0.0001,21,2.549452560128265,216,241,1.9507748483117148e-05
4,10,0.0001,22,1.9543294320564453,169,183,1.9986095650817295e-05
4,10,0.0001,23,1.8948270846332063,165,178,2.0022688939284828e-05
4,10,0.0001,24,1.6222671937728474,144,152,2.0115225503986188e-05
4,10,0.0001,25,2.052628683912975,177,193,1.992421481053643e-05
4,10,0.0001,26,2.093830880763333,180,197,1.9894974632083748e-05
4,10,0.0001,27,2.270337195103049,194,214,1.9755876361540072e-05
4,10,0.0001,28,2.2479623279842955,192,212,1.9774970281448856e-05
4,10,0.0001,29,2.0028453239108917,173,188,1.9956985895479486e-05
4,10,0.0001,30,2.0542506118371286,177,193,1.9922548153712982e-05
4,10,0.0001,31,1.6940935746468886,149,159,2.0103473551515794e-05
4,10,0.0001,32,2.228966306657732,191,210,1.979010166371136e-05
4,10,0.0001,33,1.9901516024049724,172,187,1.9965964599512186e-05
4,10,0.0001,34,1.8526090904325085,161,174,2.0044404420946384e-05
4,10,0.0001,35,1.7554426816442772,154,165,2.0086102081083374e-05
4,10,0.0001,36,2.271908522779481,194,214,1.9754127752637185e-05
4,10,0.0001,37,1.9384488329943181,168,182,1.9997501452065806e-05
4,10,0.0001,38,2.8487736351401995,239,270,1.92269058453403e-05
4,10,0.0001,39,2.4367791242665438,207,230,1.9610496208005166e-05
